0:TCF7,TSHZ2,TRABD2A,MAL,LEF1,FHIT,SH3YL1,CAMK4,CCR7,MYC,AP3M2,SERINC5,NOSIP,INPP4B,AQP3,IL7R,FLT3LG,RCAN3,LTB,SELL,LDHB,SGTB,KCNA3,CD28,SFXN1,S1PR1,TMEM123,PDE3B,TNFSF8,SATB1,TRAT1,DGKA,MGAT4A,LEPROTL1,TESPA1,CD5,CD6,IL6ST,CCDC109B,LINC00861,TMEM256-PLSCR3,TTC39C,TC2N,CTD-3184A7.4,THEM4,MAML2,ARHGAP15,THOC3,RASA3,GIMAP7
11:TRDV1,RP11-492E3.2,PMCH,TRGV8,RTKN2,TRBV24-1,CADM1,TRGV2,AC017002.1,TMEM155,AC133644.2,TNIP3,LAG3,FXYD2,LAYN,TSC22D1,BHLHE40-AS1,VCAM1,CD200R1,CCDC64,CSF1,TRGV4,SNAP47,ADTRP,PCSK1N,TRGC2,AC069363.1,PDCD1,PTMS,GZMK,SIRPG,DUSP16,HAVCR2,CTLA4,TRG-AS1,TNFRSF9,IKZF2,CD27,JMJD4,MAP1LC3A,NAB1,CCR5,FAM3C,TOX2,PRR5L,CDKN2A,TNFSF9,AC104820.2,CCDC141,EOMES
12:CDKN1C,CTD-2006K23.1,ICAM4,CKB,TCF7L2,NEURL1,CALML4,CDH23,BATF3,LINC01272,TPTEP1,GPBAR1,RP11-362F19.1,LST1,HES4,LILRA1,LRRC25,TAGLN,RP11-750H9.5,ZNF703,P2RX1,LILRA5,HK3,SECTM1,IFITM3,SLC2A6,APOBEC3A,LILRB2,ZDHHC1,CDK2AP1,SERPINA1,LILRA2,FAM110A,SIGLEC10,CD300LF,RRAS,PILRA,MYOF,MTMR11,SIRPB1,LILRB1,MXD3,C19orf38,CAMK1,HCK,CFD,CD300C,SIDT2,AIF1,PLXNB2
13:FPR2,CDC42EP2,THBS1,RP11-362F19.1,HES4,FCAR,LINC01272,ZNF703,G0S2,PAPSS2,AQP9,IL1B,LINC00877,MEFV,LILRA5,APOBEC3A,DNAJA4,TBC1D8,LILRB2,C5AR1,EREG,TREM1,TIMP1,THBD,CLEC4E,TCF7L2,GPBAR1,CXCL8,BCL2A1,CALML4,RNF144B,LILRA1,CHST15,HK3,CDKN1C,CD300E,SLC11A1,PTGS2,CCRL2,ETS2,PLAUR,LILRB1,MARCO,HCK,SECTM1,LILRA6,NAMPT,TLR4,CFP,NLRP3
14:DLGAP5,KIF20A,SPC25,HJURP,UBE2C,FAM64A,PKMYT1,KIF2C,TYMS,BIRC5,PLK1,GTSE1,KIF15,CCNB2,CENPA,AURKB,RRM2,CDC20,CDCA5,CDCA3,KIF4A,PBK,SPC24,CDC45,CCNA2,MKI67,TROAP,UHRF1,ASPM,SKA3,KIF23,KIF14,TTK,HIST1H3B,KIAA0101,CDT1,TOP2A,FOXM1,SKA1,DIAPH3,MND1,CDCA8,CDCA2,CEP55,CDC6,CDK1,TK1,NEIL3,HMMR,DEPDC1B
15:CCR8,FOXP3,TNFRSF4,HACD1,IL2RA,TNFRSF18,TBC1D4,LAYN,ICA1,SLAMF1,CUL9,FBLN7,CTLA4,NGFRAP1,CXCR6,TIGIT,BATF,AC017002.1,MAGEH1,AC133644.2,STAM,ICOS,MAST4,NDFIP2,LTA,GADD45A,LAIR2,IKZF2,PHLDA1,DNPH1,CD70,CCDC141,LIMA1,CDKN2A,ACTA2,PHTF2,IL32,ENTPD1,CD28,TNFRSF9,SGMS1,UGP2,SAMSN1,GBP5,MIR4435-2HG,ATP1B1,TRAF1,TSPAN5,PVT1,PTTG1
16:MYOM2,CCL4,CCL3,AREG,KIR2DL3,ZBTB10,IL18RAP,SH2D1B,EGR1,CCL4L2,CD69,KLRF1,SPON2,GSAP,KLRD1,OSBPL5,SOCS1,CLIC3,IER2,FCRL3,KLRC1,GZMB,AKR1C3,AF213884.2,NCR1,RP11-553L6.2,BTG2,FOS,FCGR3B,ZBTB16,GFOD1,DTHD1,IFNG,TBX21,JUN,MAPK1,CX3CR1,EGR2,S1PR5,TMIGD2,PTGDR,PRF1,DUSP2,GRASP,TTC38,NFKBIA,RP11-325F22.2,CCL3L3,RBKS,ADRB2
17:FCGBP,CCL2,HAMP,CLDN1,MMP2,OLFML3,EGR3,C3,PLAU,SPP1,RP11-834C11.4,MRC2,P2RY12,GAL3ST4,CD276,FILIP1L,BHLHE41,A2M,SLCO2B1,DOCK4,EGR2,C1QC,PALD1,TMEM52B,TREM2,P3H2,HS3ST1,SPRED1,C1QA,C1QB,MSR1,VSIG4,C2,OLR1,GPR34,GATM,FRMD4A,EPB41L2,GAS6,RP11-472N13.3,ETV5,MMP14,ADORA3,C3AR1,HBEGF,IGF1,MACC1,SDS,FMNL2,ZNF618
18:RP11-761N21.1,XCR1,PPY,RP11-798K3.3,TACSTD2,CLEC9A,IDO1,DNASE1L3,FBXO27,RFPL4A,ENPP1,RP11-244M2.1,CYYR1,ZNF366,RAB7B,EGLN3,CLNK,MYLK,BCL2L14,PPM1J,C1orf54,NEGR1,SERPINF2,FLT3,WDFY4,GPR157,PPM1H,CCND1,CCSER1,P2RY14,GPER1,NET1,P2RY6,MYCL,NAV1,CALCRL,BATF3,TLR10,SHTN1,CLEC4C,CLIC2,SCARF1,CPVL,ADGRG6,HLA-DOB,SLAMF8,LDLRAD3,PARM1,LGALS2,SERPINF1
19:IGKV2D-30,IGLV3-1,IGHGP,IGHG1,IGLC2,JCHAIN,IGHV4-61,SDC1,IGHA1,IGHG4,MIXL1,GPRC5D,IGHA2,TNFRSF17,IGLL5,IGHG2,DERL3,IGKV4-1,IGKC,MZB1,IGLC3,TXNDC5,IGHG3,AC104699.1,IGLV6-57,ABCB9,CCR10,JSRP1,IGKV1-12,BMP8B,RP11-1070N10.3,FCRL5,CNKSR1,RP11-16E12.2,RASSF6,PYCR1,C2orf88,RP11-279O9.4,PKHD1L1,POU2AF1,CPNE5,SPAG4,PDIA5,PARM1,ITM2C,B9D1,DENND5B,TNFRSF13B,ZP3,GAB1
20:LRRC26,RP11-73G16.2,SHD,SCT,PTCRA,LAMP5,CLEC4C,NLRP7,LILRA4,AC023590.1,ASIP,SMIM5,SCAMP5,PTPRS,SCN9A,KCNK17,MAP1A,TPM2,CYP46A1,EPHB1,EPHA2,PHEX,PLVAP,GPM6B,IL3RA,AC011893.3,MYBL2,CYYR1,RP11-117D22.2,PROC,C1orf186,SLC7A11,PPM1J,PACSIN1,SMPD3,RP11-385F7.1,TNFRSF21,TSPAN13,LINC00996,PLD4,PFKFB2,RP1-244F24.1,SERPINF1,PTGDS,TCL1A,TCF4,EGLN3,UGCG,IGKV1-12,PPP1R14B
